剑	jian
剒	cuo
剔	ti
剕	fei
剖	pou
剗	chan
剙	chuang
剚	zi
剛	gang
剜	wan
剞	ji
剟	duo
剠	qing
剡	shan
剥	bao
剧	ju
剨	huo
剩	sheng
剪	jian
剮	gua
副	fu
割	ge
剴	kai
創	chuang
剷	chan
剺	li
剽	piao
剿	chao
劀	gua
劁	qiao
劂	jue
劃	hua
劄	zha
劇	ju
劈	pi
劉	liu
劊	gui
劌	gui
劍	jian
劐	huo
劑	ji
劓	yi
劔	jian
劘	mo
劙	li
劚	zhu
力	li
劝	quan
办	ban
功	gong
加	jia
务	wu
劢	mai
劣	lie
劤	jin
动	dong
助	zhu
努	nu
劫	jie
劬	qu
劭	shao
励	li
劲	jin
劳	lao
効	xiao
劻	kuang
劾	he
势	shi
勁	jin
勃	bo
勅	chi
勇	yong
勉	mian
勋	xun
勍	qing
勐	meng
勑	chi
勒	le
勔	mian
動	dong
勖	xu
勗	xu
勘	kan
務	wu
勚	yi
勝	sheng
勞	lao
募	mu
勠	lu
勢	shi
勤	qin
勥	jiang
勦	chao
勰	xie
勱	mai
勳	xun
勵	li
勷	rang
勸	quan
勺	shao
勼	jiu
勾	gou
勿	wu
匀	yun
匄	gai
包	bao
匆	cong
匈	xiong
匉	peng
匊	ju
匋	tao
匍	pu
匏	pao
匐	fu
匕	bi
化	hua
北	bei
匙	chi
匜	yi
匝	za
匠	jiang
匡	kuang
匣	xia
匦	gui
匪	fei
匮	kui
匯	hui
匲	lian
匳	lian
匵	du
匹	pi
区	ou
医	yi
匼	ke
匾	bian
匿	ni
區	ou
十	shi
千	qian
卅	sa
升	sheng
午	wu
卉	hui
半	ban
卋	shi
卌	xi
华	hua
协	xie
卑	bei
卒	cu
卓	zhuo
協	xie
单	chan
卖	mai
南	na
博	bo
卜	bo
卝	kuang
卞	bian
卟	bu
占	zhan
卡	ka
卢	lu
卣	you
卤	lu
卦	gua
卧	wo
卨	xie
卫	wei
卬	ang
卮	zhi
卯	mao
印	yin
危	wei
卲	shao
即	ji
却	que
卵	luan
卷	juan
卸	xie
卹	xu
卺	jin
卻	que
卼	wu
卿	qing
厂	an
厄	e
厅	ting
历	li
厉	li
压	ya
厌	yan
厍	she
厓	ya
厔	zhi
厕	ce
厖	pang
厘	li
厚	hou
厛	ting
厝	cuo
原	yuan
厢	xiang
厣	yan
厤	li
厥	jue
厦	sha
厨	chu
厩	jiu
厪	jin
厫	ao
厭	yan
厮	si
厰	chang
厲	li
厴	yan
厶	si
去	qu
厾	du
县	xian
叁	san
参	can
參	can
叆	ai
叇	dai
又	you
叉	cha
及	ji
友	you
双	shuang
反	fan
収	shou
发	fa
叔	shu
取	qu
受	shou
变	bian
叙	xu
叛	pan
叜	sou
叟	sou
叠	die
叡	rui
叢	cong
口	kou
古	gu
句	gou
另	ling
叨	dao
叩	kou
只	zhi
叫	jiao
召	shao
叭	ba
叮	ding
可	ke
台	tai
叱	chi
史	shi
右	you
叵	po
叶	xie
号	hao
司	si
叹	tan
叻	le
叼	diao
叽	ji
吁	xu
吃	chi
各	ge
吆	yao
合	ge
吉	ji
吊	diao
吋	cun
同	tong
名	ming
后	hou
吏	li
吐	tu
向	xiang
吒	zha
吓	he
吕	lü
吗	ma
吚	yi
君	jun
吝	lin
吞	tun
吟	yin
吠	fei
吡	bi
吢	qin
吣	qin
吥	bu
否	fou
吧	ba
吨	dun
吩	fen
吪	e
含	han
听	ting
吭	hang
吮	shun
启	qi
吰	hong
吱	zhi
吲	yin
吳	wu
吴	wu
吵	chao
吸	xi
吹	chui
吻	wen
吼	hou
吽	hong
吾	wu
呀	ya
呃	e
呆	ai
呈	cheng
告	gao
呋	fu
呌	jiao
呎	chi
呐	na
呒	ḿ
呓	yi
呔	dai
呕	ou
呖	li
呗	bai
员	yuan
呙	guo
呛	qiang
呜	wu
呝	e
呢	ne
呣	ḿ
呤	ling
呦	you
周	zhou
呪	zhou
呰	zi
呱	gu
呲	ci
味	wei
呵	a
呶	nao
呷	ga
呸	pei
呻	shen
呼	hu
命	ming
咀	ju
咂	za
咄	duo
咆	pao
咋	za
和	he
咍	hai
咎	jiu
咏	yong
咐	fu
咑	da
咒	zhou
咔	ka
咕	gu
咖	ga
咙	long
咚	dong
咛	ning
咝	si
咣	guang
咤	zha
咦	yi
咧	lie
咨	zi
咩	mie
咪	mi
咫	zhi
咬	yao
咭	ji
咮	zhou
咯	ge
咱	za
咲	xiao
咳	hai
咴	hui
咵	kua
咷	tao
咸	xian
咻	xiu
咼	guo
咽	yan
咿	yi
哀	ai
品	pin
哂	shen
哄	hong
哅	xiong
哆	duo
哇	wa
哈	ha
哉	zai
哌	pai
响	xiang
哎	ai
哏	gen
哐	kuang
哑	ya
哓	xiao
哔	bi
哕	hui
哗	hua
哙	kuai
哚	duo
哜	ji
哝	nong
哞	mou
哟	yo
哢	long
哥	ge
哦	e
哧	chi
哨	shao
哩	li
哪	na
哭	ku
哮	xiao
哱	bo
哲	zhe
哳	zha
哶	mie
哺	bu
哼	heng
哽	geng
哿	ge
唁	yan
唆	suo
唇	chun
唈	yi
唉	ai
唏	xi
唐	tang
唑	zuo
唔	n
唕	zao
唗	dou
唙	di
唚	qin
唝	gong
唠	lao
唡	liang
唢	suo
唣	zao
唤	huan
唧	ji
唪	feng
唫	jin
唬	hu
售	shou
唯	wei
唰	shua
唱	chang
唳	li
唷	yo
唸	nian
唼	sha
唾	tuo
唿	hu
啁	zhao
啃	ken
啄	zhuo
商	shang
啈	heng
啉	lin
啊	a
啎	wu
啐	cui
啓	qi
啕	tao
啖	dan
啗	dan
啙	zi
啜	chuai
啞	ya
啟	qi
啡	fei
啢	liang
啣	xian
啤	pi
啥	sha
啦	la
啧	ze
啪	pa
啬	se
啭	zhuan
啮	nie
啴	chan
啵	bo
啶	ding
啷	lang
啸	xiao
啻	chi
啼	ti
啾	jiu
喀	ka
喁	yong
喂	wei
喃	nan
善	shan
喆	zhe
喇	la
喈	jie
喉	hou
喊	han
喋	die
喌	zhou
喎	wai
喏	nuo
喑	yin
喒	za
喓	yao
喔	o
喘	chuan
喙	hui
喜	xi
喝	he
喟	kui
喤	huang
喧	xuan
喨	liang
喪	sang
喫	chi
喬	qiao
喭	yan
單	chan
喱	li
喳	cha
喵	miao
喷	pen
喹	kui
喻	yu
喽	lou
喾	ku
嗁	ti
嗄	a
嗅	xiu
嗆	qiang
嗇	se
嗈	yong
嗉	su
嗌	ai
嗍	suo
嗐	hai
嗑	ke
嗒	da
嗓	sang
嗔	chen
嗖	sou
嗙	pang
嗚	wu
嗛	qian
嗜	shi
嗝	ge
嗞	zi
嗟	jie
嗡	weng
嗣	si
嗤	chi
嗥	hao
嗦	suo
嗨	hai
嗪	qin
嗫	nie
嗬	he
嗯	n
嗲	dia
嗳	ai
嗵	tong
嗶	bi
嗷	ao
嗻	zhe
嗽	sou
嗾	sou
嘀	di
嘁	qi
嘅	kai
嘆	tan
嘈	cao
嘉	jia
嘌	piao
嘍	lou
嘎	ga
嘏	gu
嘑	hu
嘒	hui
嘔	ou
嘗	chang
嘘	shi
嘚	de
嘛	ma
嘞	lei
嘟	du
嘡	tang
嘣	beng
嘤	ying
嘦	jiao
嘧	mi
嘩	hua
嘬	chuai
嘭	peng
嘮	lao
嘯	xiao
嘰	ji
嘱	zhu
嘲	chao
嘴	zui
嘵	xiao
嘶	si
嘸	ḿ
嘹	liao
嘻	xi
嘽	chan
嘿	hei
噀	xun
噁	e
噆	zan
噇	chuang
噉	dan
噌	ceng
噍	jiao
噎	ye
噏	xi
噐	qi
噑	hao
噔	deng
噗	pu
噘	jue
噙	qin
噚	xun
噜	lu
噝	si
噠	da
噢	o
噤	jin
噥	nong
噦	hui
器	qi
噩	e
噪	zao
噫	yi
噬	shi
噭	jiao
噯	ai
噰	yong
噱	jue
噲	kuai
噶	ga
噷	hm
噸	dun
噹	dang
噻	sai
噼	pi
噽	pi
嚀	ning
嚃	ta
嚄	huo
嚅	ru
嚆	hao
嚇	he
嚌	ji
嚎	hao
嚏	ti
嚐	chang
嚓	ca
嚙	nie
嚚	yin
嚜	me
嚣	ao
嚥	yan
嚦	li
嚨	long
嚫	chen
嚬	pin
嚭	pi
嚮	xiang
嚯	huo
嚲	duo
嚳	ku
嚴	yan
嚷	rang
嚻	xiao
嚼	jiao
嚾	huan
囀	zhuan
囁	nie
囅	chan
囈	yi
囉	luo
囊	nang
囌	su
囑	zhu
囔	nang
囘	hui
囚	qiu
四	si
囝	jian
回	hui
囟	xin
因	yin
囡	nan
团	tuan
囤	dun
囥	kang
囫	hu
囬	hui
园	yuan
囮	e
囯	guo
困	kun
囱	cong
围	wei
囵	lun
囷	qun
囹	ling
固	gu
国	guo
图	tu
囿	you
圂	hun
圃	pu
圄	yu
圅	han
圆	yuan
圇	lun
圈	juan
圉	yu
圊	qing
國	guo
圌	chuan
圍	wei
圐	ku
園	yuan
圕	tu
圖	tu
團	tuan
圙	lüe
圜	huan
圝	luan
圞	luan
土	tu
圣	sheng
在	zai
圩	wei
圪	ge
圬	wu
圭	gui
圮	pi
圯	yi
地	de
圳	zhen
圹	kuang
场	chang
圻	qi
圾	ji
址	zhi
坂	ban
均	jun
坊	fang
坋	ben
坌	ben
坍	tan
坎	kan
坏	huai
坐	zuo
坑	keng
块	kuai
坚	jian
坛	tan
坜	li
坝	ba
坞	wu
坟	fen
坠	zhui
坡	po
坢	ban
坤	kun
坦	tan
坨	tuo
坩	gan
坪	ping
